cancer_group	efo_code	mondo_code	ncit_code
Acute Lymphoblastic Leukemia	EFO_0000220	MONDO_0004967	NCIT_C3167
Acute Myeloid Leukemia	EFO_0000222	MONDO_0018874	NCIT_C3171
Adamantinomatous Craniopharyngioma	EFO_1000069	MONDO_0002787	NCIT_C4726
Adenocarcinoma	EFO_0000228	MONDO_0004970	NCIT_C2852
Adrenocortical Carcinoma	EFO_1000796	MONDO_0006639	NCIT_C9325
Anaplastic Large Cell Lymphoma	EFO_0003032	MONDO_0020325	NCIT_C3720
Angiosarcoma	EFO_0003968	MONDO_0016982	NCIT_C3088
Astroblastoma	MONDO_0016707	MONDO_0016707	NCIT_C4324
Astrocytoma	EFO_0000272	MONDO_0019781	NCIT_C6958
Atypical Teratoid Rhabdoid Tumor	EFO_1002008	MONDO_0020560	NCIT_C6906
Atypical choroid plexus papilloma	MONDO_0002684	MONDO_0002684	NCIT_C53686
B Acute Lymphoblastic Leukemia/Lymphoma	EFO_0000094	MONDO_0004967	NCIT_C8644
Bladder Urothelial Carcinoma	EFO_0006544	MONDO_0005611	NCIT_C39851
Breast Invasive Carcinoma	EFO_1000307	MONDO_0006256	NCIT_C9245
Burkitt Leukemia/Lymphoma	EFO_0000309	MONDO_0007243	NCIT_C2912
CIC-DUX4 Sarcoma	EFO_0000691	MONDO_0005089	NCIT_C165663
CNS Burkitt's lymphoma	EFO_0000309	MONDO_0007243	NCIT_C2912
CNS Embryonal tumor	EFO_0005784	MONDO_0018843	NCIT_C5398
CNS Melanoma	EFO_0002617	MONDO_0005191	NCIT_C133504
CNS neuroblastoma	EFO_0000621	MONDO_0006130	NCIT_C4826
Cavernoma	EFO_1000151	MONDO_0003155	NCIT_C3086
Central neurocytoma	EFO_1000856	MONDO_0019134	NCIT_C3791
Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	EFO_1000162	MONDO_0006143	NCIT_C157526
Cholangiocarcinoma	EFO_0005221	MONDO_0019087	NCIT_C4436
Chondromyxoid fibroma	EFO_0000332	MONDO_0018447	NCIT_C3830
Chordoma	Orphanet_178	MONDO_0008978	NCIT_C2947
Choroid plexus carcinoma	MONDO_0016718	MONDO_0016718	NCIT_C4715
Choroid plexus papilloma	EFO_1000177	MONDO_0009837	NCIT_C3698
Choroid plexus tumor	EFO_0007206	MONDO_0016717	NCIT_C4533
Chromophobe renal cell carcinoma	EFO_0000335	MONDO_0017885	NCIT_C4146
Chronic Myelogenous Leukemia	EFO_0000339	MONDO_0011996	NCIT_C3174
Clear cell sarcoma of the kidney	EFO_0000350	MONDO_0005006	NCIT_C4264
Colon Adenocarcinoma	EFO_1001949	MONDO_0002271	NCIT_C4349
Craniopharyngioma	EFO_1000209	MONDO_0002787	NCIT_C2964
Cutaneous Melanoma	EFO_0000389	MONDO_0005012	NCIT_C3510
Desmoplastic infantile astrocytoma and ganglioglioma	MONDO_0016731	MONDO_0016731	NCIT_C4747
Diffuse fibrillary astrocytoma	MONDO_0016688	MONDO_0016688	NCIT_C4322
Diffuse hemispheric glioma	MONDO_0016680	MONDO_0016680	NA
Diffuse intrinsic pontine glioma	EFO_1000026	MONDO_0006033	NCIT_C94764
Diffuse leptomeningeal glioneuronal tumor	MONDO_0016745	MONDO_0016745	NCIT_C129424
Diffuse midline glioma	EFO_1000026	MONDO_0006033	NCIT_C129309
Dysembryoplastic neuroepithelial tumor	EFO_0005551	MONDO_0005505	NCIT_C9505
Dysgerminoma	MONDO_0003002	MONDO_0003002	NCIT_C2996
Embryonal tumor with multilayer rosettes	MONDO_0016715	MONDO_0016715	NCIT_C129499
Ependymoma	EFO_1000028	MONDO_0016698	NCIT_C3017
Epstein-Barr virus-related tumor	MONDO_0017342	MONDO_0017342	NA
Esophageal Carcinoma	EFO_0002916	MONDO_0019086	NCIT_C3513
Ewing sarcoma	EFO_0000174	MONDO_0012817	NCIT_C4817
Extraventricular neurocytoma	MONDO_0016727	MONDO_0016727	NCIT_C92555
Fibromyxoid lesion	MONDO_0037745	MONDO_0037745	NCIT_C66760
Ganglioglioma	EFO_0003094	MONDO_0016733	NCIT_C3788
Ganglioneuroblastoma	EFO_0000502	MONDO_0005035	NCIT_C3790
Ganglioneuroma	EFO_0000500	MONDO_0005033	NCIT_C3049
Germ Cell Tumor	EFO_0000514	MONDO_0005040	NCIT_C3708
Germinoma	MONDO_0020580	MONDO_0020580	NCIT_C121618
Glial-neuronal tumor	MONDO_0016729	MONDO_0016729	NCIT_C4747
Glioblastoma	MONDO_0018177	MONDO_0018177	NCIT_C30587
Glioblastoma Multiforme	EFO_0000519	MONDO_0018177	NCIT_C3058
Head and Neck Squamous Cell Carcinoma	EFO_0000181	MONDO_0010150	NCIT_C34447
Hemangioblastoma	MONDO_0016748	MONDO_0016748	NCIT_C3801
Hepatoblastoma	EFO_1000292	MONDO_0018666	NCIT_C3728
Hepatocellular Carcinoma	EFO_0000182	MONDO_0007256	NCIT_C3099
High-grade glioma	MONDO_0100342	MONDO_0100342	NCIT_C4822
Histiocytic tumor	MONDO_0020081	MONDO_0020081	NCIT_C9294
Hodgkin's lymphoma	EFO_0000183	MONDO_0004952	NCIT_C9357
Infant-type hemispheric glioma	EFO_0005543	MONDO_0014695	NCIT_C185471
Infantile Fibrosarcoma	MONDO_0002678	MONDO_0002678	NCIT_C4244
Inflammatory Myofibroblastic Tumor	MONDO_0015798	MONDO_0015798	NCIT_C6481
Intrahepatic Cholangiocarcinoma	EFO_1001961	MONDO_0003210	NCIT_C35417
Intraneural perineuroma	MONDO_0015032	MONDO_0015032	NCIT_C6911
Juvenile xanthogranuloma	EFO_1000311	MONDO_0015534	NCIT_C3451
Langerhans Cell histiocytosis	EFO_1000318	MONDO_0018310	NCIT_C3107
Low-grade glioma	MONDO_0021637	MONDO_0021637	NCIT_C132067
Lung Adenocarcinoma	EFO_0000571	MONDO_0005061	NCIT_C3512
Lung Squamous Cell Carcinoma	EFO_0000708	MONDO_0005097	NCIT_C3493
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	EFO_0000403	MONDO_0018905	NCIT_C8851
Malignant peripheral nerve sheath tumor	EFO_0000760	MONDO_0017827	NCIT_C3798
Medulloblastoma	EFO_0002939	MONDO_0007959	NCIT_C3222
Melanocytic tumor	MONDO_0003222	MONDO_0003222	NCIT_C5504
Melanoma	EFO_0000756	MONDO_0005105	NCIT_C3224
Meningioma	Orphanet_2495	MONDO_0016642	NCIT_C3230
Mesenchymal tumor	EFO_1000473	MONDO_0003512	NCIT_C7059
Mesothelioma	EFO_0000588	MONDO_0005065	NCIT_C3234
Metastatic secondary tumors	EFO_0009812	MONDO_0024883	NCIT_C4968
Mixed germ cell tumor	MONDO_0015864	MONDO_0015864	NCIT_C4290
Neuroblastoma	EFO_0000621	MONDO_0005072	NCIT_C3270
Neurofibroma/Plexiform	EFO_0000658	MONDO_0003304	NCIT_C3797
Non-Hodgkin Lymphoma	EFO_0005952	MONDO_0018908	NCIT_C3211
Non-germinomatous germ cell tumor	MONDO_0020580	MONDO_0020580	NCIT_C121619
Oligodendroglioma	EFO_0000632	MONDO_0016695	NCIT_C3288
Osteosarcoma	EFO_0000637	MONDO_0009807	NCIT_C9145
Ovarian Serous Cystadenocarcinoma	EFO_1000043	MONDO_0006046	NCIT_C7978
Pancreatic Adenocarcinoma	EFO_1000044	MONDO_0006047	NCIT_C8294
Perineuroma	MONDO_0019404	MONDO_0019404	NCIT_C4973
Pheochromocytoma and Paraganglioma	EFO_0020005	MONDO_0035540	NA
Pilocytic astrocytoma	Orphanet_251612	MONDO_0016691	NCIT_C4047
Pineoblastoma	EFO_1000475	MONDO_0016722	NCIT_C9344
Pineocytoma	EFO_1000476	MONDO_0016723	NCIT_C6966
Pleomorphic xanthoastrocytoma	MONDO_0016690	MONDO_0016690	NCIT_C4323
Primary mediastinal large B cell lymphoma	MONDO_0004021	MONDO_0020323	NCIT_C9280
Prostate Adenocarcinoma	EFO_0000673	MONDO_0005082	NCIT_C2919
Rectum Adenocarcinoma	EFO_0005631	MONDO_0002169	NCIT_C9383
Renal Clear Cell Carcinoma	EFO_0000349	MONDO_0005005	NCIT_C4033
Renal Papillary Cell Carcinoma	EFO_0000640	MONDO_0017884	NCIT_C6975
Retinoblastoma	MONDO_0008380	MONDO_0008380	NCIT_C7541
Rhabdoid tumor of the kidney	EFO_1000512	MONDO_0002729	NCIT_C8715
Rhabdomyosarcoma	EFO_0002918	MONDO_0005212	NCIT_C3359
Rosai-Dorfman disease	MONDO_0006412	MONDO_0006412	NCIT_C36075
Rosette-forming glioneuronal tumor	MONDO_0016736	MONDO_0016736	NCIT_C129431
Sarcoma	EFO_0000691	MONDO_0005089	NCIT_C9118
Schwannoma	EFO_0000693	MONDO_0002546	NCIT_C3269
Stomach Adenocarcinoma	EFO_0000503	MONDO_0005036	NCIT_C4004
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696
T Acute Lymphoblastic Leukemia/Lymphoma	EFO_0000209	MONDO_0004963	NCIT_C3183
Teratoma	MONDO_0002601	MONDO_0002601	NCIT_C3403
Testicular Germ Cell Tumor	EFO_1000566	MONDO_0010108	NCIT_C8591
Thymoma	EFO_1000581	MONDO_0006456	NCIT_C3411
Thyroid Carcinoma	EFO_0002892	MONDO_0015075	NCIT_C4815
Thyroid Gland Follicular Carcinoma	EFO_0000501	MONDO_0005034	NCIT_C8054
Thyroid Gland Papillary Carcinoma	EFO_0000641	MONDO_0005075	NCIT_C4035
Uterine Carcinosarcoma	EFO_1000613	MONDO_0006485	NCIT_C42700
Uterine Corpus Endometrial Carcinoma	EFO_0007532	MONDO_0000553	NCIT_C159413
Uveal Melanoma	EFO_1000616	MONDO_0006486	NCIT_C7712
Wilms tumor	MONDO_0006058	MONDO_0006058	NCIT_C3267
